BAST	fHbp_peptide	NHBA_peptide	NadA_peptide	PorA_VR1	PorA_VR2	MenDeVAR_Bexsero_reactivity	MenDeVAR_Trumenba_reactivity
1	1	2	8	7-2	4	exact match	cross-reactive
2	22	29	6	5	2	cross-reactive	insufficient data
3	22	29	3	5	2	cross-reactive	insufficient data
4	1	3	1	7	16	exact match	cross-reactive
5	1	3	1	19	15	exact match	cross-reactive
6	151	29	6	5	2	cross-reactive	insufficient data
7	1	3	110	7	16	exact match	cross-reactive
8	22	29	121	5	2	insufficient data	insufficient data
9	1	3	110	19	15	exact match	cross-reactive
10	1	120	1	19	15	exact match	cross-reactive
11	13	6	8	21	16	exact match	cross-reactive
12	4	20	2	5-1	10-4	cross-reactive	cross-reactive
13	5	27	8	20	9	exact match	insufficient data
14	21	6	8	21	16	exact match	cross-reactive
15	22	29	3	5	2-1	cross-reactive	insufficient data
16	22	29	4	5	2	insufficient data	insufficient data
17	4	29	3	5-1	2	cross-reactive	cross-reactive
18	459	20	2	5	2	insufficient data	insufficient data
19	1	187	1	19	15	exact match	cross-reactive
20	1	120	110	19	15	exact match	cross-reactive
21	118	20	2	5	2	insufficient data	insufficient data
22	5	126	8	20	9	exact match	insufficient data
23	1	3	1	7	16-2	exact match	cross-reactive
24	151	29	7	5	2	insufficient data	insufficient data
25	16	21	7	5	2	insufficient data	cross-reactive
26	23	96	6	5	2	cross-reactive	cross-reactive
27	1	557	1	7	16	exact match	cross-reactive
28	95	20	2	5	2	insufficient data	insufficient data
29	23	29	6	5	2	cross-reactive	cross-reactive
30	14	30	21	7-1	1	cross-reactive	cross-reactive
31	1	3	110	7	16-2	exact match	cross-reactive
32	1	4	110	19	15	exact match	cross-reactive
33	22	29	3	5-1	2	cross-reactive	insufficient data
34	13	6	8	21	16-20	exact match	cross-reactive
35	22	20	3	5-2	10	cross-reactive	insufficient data
36	16	20	7	5	2	insufficient data	cross-reactive
37	16	20	3	5-2	10	cross-reactive	cross-reactive
38	22	29	127	5	2	insufficient data	insufficient data
39	1	4	1	19	15	exact match	cross-reactive
40	13	6	8	21	16-117	exact match	cross-reactive
41	22	519	3	19-3	15	cross-reactive	insufficient data
42	144	20	110	5	2	cross-reactive	insufficient data
43	16	101	8	22	9	exact match	cross-reactive
44	702	2	21	22-1	14	exact match	insufficient data
45	14	30	21	22-1	14	cross-reactive	cross-reactive
46	462	20	2	5	2	insufficient data	insufficient data
47	1	29	110	5-2	10	exact match	cross-reactive
48	16	20	8	5-1	2-2	exact match	cross-reactive
49	22	96	6	5	2	cross-reactive	insufficient data
50	22	29	6	7-2	14	cross-reactive	insufficient data
51	144	20	1	5	2	cross-reactive	insufficient data
52	1	29	1	5-2	10	exact match	cross-reactive
53	11	20	2	5-1	10-8	insufficient data	insufficient data
54	242	3	110	7	16	insufficient data	insufficient data
55	242	3	1	7	16	insufficient data	insufficient data
56	69	3	100	19-3	15	insufficient data	insufficient data
57	2	10	1	7	16	cross-reactive	insufficient data
58	13	30	21	18-3	1	insufficient data	cross-reactive
59	22	29	6	5-1	10-4	cross-reactive	insufficient data
60	453	20	2	5	2	insufficient data	insufficient data
61	598	3	1	19	15	insufficient data	insufficient data
62	1	3	1	22	14-6	exact match	cross-reactive
63	144	20	1	18-1	3	cross-reactive	insufficient data
64	4	20	2	7-2	4	exact match	cross-reactive
65	101	528	1	7	16	insufficient data	insufficient data
66	658	529	1	7-2	16	insufficient data	insufficient data
67	1	3	113	7-1	16	exact match	cross-reactive
68	1	29	6	5	2	exact match	cross-reactive
69	101	237	110	7	16	insufficient data	insufficient data
70	1	514	110	7	16	exact match	cross-reactive
71	454	20	2	5	2	insufficient data	insufficient data
72	254	6	8	21	16	exact match	insufficient data
73	1	88	1	7-2	16	exact match	cross-reactive
74	2	20	2	5	2	insufficient data	insufficient data
75	33	502	3	7	14-1	cross-reactive	insufficient data
76	90	29	6	5	2	cross-reactive	insufficient data
77	1	5	1	7	16	exact match	cross-reactive
78	1	29	1	7	16-2	exact match	cross-reactive
79	1	5	1	7	16-20	exact match	cross-reactive
80	1	515	110	19	15	exact match	cross-reactive
81	144	516	1	19	15	cross-reactive	insufficient data
82	510	29	1	21	16-15	insufficient data	cross-reactive
83	22	24	3	5	2	cross-reactive	insufficient data
84	1	3	1	7-2	16	exact match	cross-reactive
85	22	2	115	5-1	10-1	exact match	insufficient data
86	1	505	110	7-2	3	exact match	cross-reactive
87	39	29	8	5-2	10	exact match	insufficient data
88	74	3	100	7-2	16	insufficient data	insufficient data
89	303	20	2	5	2	insufficient data	insufficient data
90	394	3	110	7	16	insufficient data	insufficient data
91	13	20	2	5	2	insufficient data	cross-reactive
92	394	3	1	7	16	insufficient data	insufficient data
93	94	126	8	20	9	exact match	insufficient data
94	1	3	1	5-2	10	exact match	cross-reactive
95	13	3	100	7	16-26	insufficient data	cross-reactive
96	13	3	1	19	15	insufficient data	cross-reactive
97	98	29	3	5	2	cross-reactive	insufficient data
98	13	24	3	5	2	cross-reactive	cross-reactive
99	19	517	1	7	16	insufficient data	cross-reactive
100	31	29	5	5	2	insufficient data	insufficient data
101	110	29	3	5	2-1	cross-reactive	insufficient data
102	1	3	1	7-2	16-7	exact match	cross-reactive
103	15	29	3	5	2	cross-reactive	cross-reactive
104	1	3	110	7-2	16-7	exact match	cross-reactive
105	13	3	110	19-27	15	insufficient data	cross-reactive
106	249	29	3	5	2	cross-reactive	insufficient data
107	67	29	3	5	2-1	cross-reactive	insufficient data
108	144	20	1	5-1	10-10	cross-reactive	insufficient data
109	559	237	1	7	16	insufficient data	insufficient data
110	90	3	1	19-1	15-35	insufficient data	insufficient data
111	151	29	6	5	2-43	cross-reactive	insufficient data
112	1	3	1	7-2	16-29	exact match	cross-reactive
113	107	20	2	5	2	insufficient data	insufficient data
114	1	3	1	7-2	16-12	exact match	cross-reactive
115	160	533	1	7	16	insufficient data	insufficient data
116	22	29	6	21	16	cross-reactive	insufficient data
117	21	6	8	22	9	exact match	cross-reactive
118	17	101	9	21	26-2	insufficient data	insufficient data
119	129	20	3	5	2	cross-reactive	insufficient data
120	144	516	110	19	15	cross-reactive	insufficient data
121	1	3	110	7-2	16	exact match	cross-reactive
122	31	512	1	19	15	insufficient data	insufficient data
123	1	3	3	7	16	exact match	cross-reactive
124	658	529	110	7-2	16	insufficient data	insufficient data
125	5	27	8	5-1	9	exact match	insufficient data
126	601	20	3	5-1	10-8	cross-reactive	insufficient data
127	21	680	8	22	9	exact match	cross-reactive
128	1	514	1	7	16	exact match	cross-reactive
129	37	29	3	5-2	10	cross-reactive	insufficient data
130	31	512	110	19	15	insufficient data	insufficient data
131	14	2	21	22-1	14	exact match	cross-reactive
132	453	20	2	5-1	10-8	insufficient data	insufficient data
133	506	663	100	17-1	23	insufficient data	insufficient data
134	706	243	21	5-2	10-1	cross-reactive	insufficient data
135	226	6	8	21	16	exact match	insufficient data
136	101	528	110	7	16	insufficient data	insufficient data
137	62	3	100	7	16	insufficient data	insufficient data
138	144	20	1	5-1	10-4	cross-reactive	insufficient data
139	1	29	110	7	16-2	exact match	cross-reactive
140	131	20	2	5	2	insufficient data	insufficient data
141	623	29	6	5	2	cross-reactive	insufficient data
142	606	20	3	5-1	10-8	cross-reactive	insufficient data
143	19	517	110	7	16	insufficient data	cross-reactive
144	1	3	1	7	16-29	exact match	cross-reactive
145	14	30	21	19	15-1	cross-reactive	cross-reactive
146	21	6	8	21	10-46	exact match	cross-reactive
147	22	20	2	5	2	insufficient data	insufficient data
148	21	6	8	21	16-20	exact match	cross-reactive
149	19	29	3	19	15	cross-reactive	cross-reactive
150	16	20	8	5-2	10-1	exact match	cross-reactive
151	510	29	1	7-1	1	insufficient data	cross-reactive
152	1	515	1	19	15	exact match	cross-reactive
153	22	29	130	5	2	insufficient data	insufficient data
154	22	29	3	5-9	10	cross-reactive	insufficient data
155	1	220	1	5-2	10	exact match	cross-reactive
156	21	6	8	18-1	3	exact match	cross-reactive
157	128	20	2	5	2	insufficient data	insufficient data
158	90	20	2	5	2	insufficient data	insufficient data
