vaccine	mendevar	antigen	type
bexsero	green	1	fhbp
bexsero	green	2	nhba
bexsero	green	8	nada
bexsero	green	4	poravr2
bexsero	amber	4	fhbp
bexsero	amber	10	fhbp
bexsero	amber	12	fhbp
bexsero	amber	14	fhbp
bexsero	amber	15	fhbp
bexsero	amber	37	fhbp
bexsero	amber	110	fhbp
bexsero	amber	144	fhbp
bexsero	amber	215	fhbp
bexsero	amber	232	fhbp
bexsero	amber	1	nhba
bexsero	amber	5	nhba
bexsero	amber	10	nhba
bexsero	amber	113	nhba
bexsero	amber	243	nhba
bexsero	amber	607	nhba
bexsero	amber	3	nada
bexsero	amber	6	nada
bexsero	red	16	fhbp
bexsero	red	19	fhbp
bexsero	red	21	fhbp
bexsero	red	22	fhbp
bexsero	red	24	fhbp
bexsero	red	25	fhbp
bexsero	red	29	fhbp
bexsero	red	30	fhbp
bexsero	red	31	fhbp
bexsero	red	45	fhbp
bexsero	red	47	fhbp
bexsero	red	59	fhbp
bexsero	red	76	fhbp
bexsero	red	109	fhbp
bexsero	red	119	fhbp
bexsero	red	6	nhba
bexsero	red	9	nhba
bexsero	red	17	nhba
bexsero	red	18	nhba
bexsero	red	25	nhba
bexsero	red	30	nhba
bexsero	red	31	nhba
bexsero	red	43	nhba
bexsero	red	47	nhba
bexsero	red	63	nhba
bexsero	red	112	nhba
bexsero	red	120	nhba
bexsero	red	160	nhba
bexsero	red	187	nhba
bexsero	red	197	nhba
bexsero	red	1	nada
bexsero	red	21	nada
bexsero	red	100	nada
trumenba	green	45	fhbp
trumenba	green	55	fhbp
trumenba	amber	1	fhbp
trumenba	amber	4	fhbp
trumenba	amber	13	fhbp
trumenba	amber	14	fhbp
trumenba	amber	15	fhbp
trumenba	amber	16	fhbp
trumenba	amber	19	fhbp
trumenba	amber	21	fhbp
trumenba	amber	23	fhbp
trumenba	amber	25	fhbp
trumenba	amber	30	fhbp
trumenba	amber	47	fhbp
trumenba	amber	49	fhbp
trumenba	amber	76	fhbp
trumenba	amber	87	fhbp
trumenba	amber	180	fhbp
trumenba	amber	187	fhbp
trumenba	amber	252	fhbp
trumenba	amber	276	fhbp
trumenba	amber	510	fhbp
